country,format,match,opponent,result,margin,date,ground,home_away,matches,won_flag,lost_flag,tied_flag,no_result_flag,month,year,period
England,ODI,Australia v England,Australia,Lost,5 wickets,1971-01-05,Melbourne,Away,1,0,1,0,0,Jan,1971,Jan 1971
England,ODI,England v Australia,Australia,Won,6 wickets,1972-08-24,Manchester,Home,1,1,0,0,0,Aug,1972,Aug 1972
England,ODI,England v Australia,Australia,Lost,5 wickets,1972-08-26,Lord's,Home,1,0,1,0,0,Aug,1972,Aug 1972
England,ODI,England v Australia,Australia,Won,2 wickets,1972-08-28,Birmingham,Home,1,1,0,0,0,Aug,1972,Aug 1972
England,ODI,England v New Zealand,New Zealand,Won,7 wickets,1973-07-18,Swansea,Home,1,1,0,0,0,Jul,1973,Jul 1973
England,ODI,England v New Zealand,New Zealand,N/R,-,1973-07-20,Manchester,Home,1,0,0,0,0,Jul,1973,Jul 1973
England,ODI,England v West Indies,West Indies,Won,1 wickets,1973-09-05,Leeds,Home,1,1,0,0,0,Sep,1973,Sep 1973
England,ODI,England v West Indies,West Indies,Lost,8 wickets,1973-09-07,The Oval,Home,1,0,1,0,0,Sep,1973,Sep 1973
England,ODI,England v India,India,Won,4 wickets,1974-07-13,Leeds,Home,1,1,0,0,0,Jul,1974,Jul 1974
England,ODI,England v India,India,Won,6 wickets,1974-07-15,The Oval,Home,1,1,0,0,0,Jul,1974,Jul 1974
England,ODI,England v Pakistan,Pakistan,Lost,7 wickets,1974-08-31,Nottingham,Home,1,0,1,0,0,Aug,1974,Aug 1974
England,ODI,England v Pakistan,Pakistan,Lost,8 wickets,1974-09-03,Birmingham,Home,1,0,1,0,0,Sep,1974,Sep 1974
England,ODI,Australia v England,Australia,Won,3 wickets,1975-01-01,Melbourne,Away,1,1,0,0,0,Jan,1975,Jan 1975
England,ODI,New Zealand v England,New Zealand,N/R,-,1975-03-08,Dunedin,Away,1,0,0,0,0,Mar,1975,Mar 1975
England,ODI,New Zealand v England,New Zealand,N/R,-,1975-03-09,Wellington,Away,1,0,0,0,0,Mar,1975,Mar 1975
England,ODI,England v India,India,Won,202 runs,1975-06-07,Lord's,Home,1,1,0,0,0,Jun,1975,Jun 1975
England,ODI,England v New Zealand,New Zealand,Won,80 runs,1975-06-11,Nottingham,Home,1,1,0,0,0,Jun,1975,Jun 1975
England,ODI,England v East Africa,East Africa,Won,196 runs,1975-06-14,Birmingham,Home,1,1,0,0,0,Jun,1975,Jun 1975
England,ODI,England v Australia,Australia,Lost,4 wickets,1975-06-18,Leeds,Home,1,0,1,0,0,Jun,1975,Jun 1975
England,ODI,England v West Indies,West Indies,Lost,6 wickets,1976-08-26,Scarborough,Home,1,0,1,0,0,Aug,1976,Aug 1976
England,ODI,England v West Indies,West Indies,Lost,36 runs,1976-08-28,Lord's,Home,1,0,1,0,0,Aug,1976,Aug 1976
England,ODI,England v West Indies,West Indies,Lost,50 runs,1976-08-30,Birmingham,Home,1,0,1,0,0,Aug,1976,Aug 1976
England,ODI,England v Australia,Australia,Won,2 wickets,1977-06-02,Manchester,Home,1,1,0,0,0,Jun,1977,Jun 1977
England,ODI,England v Australia,Australia,Won,101 runs,1977-06-04,Birmingham,Home,1,1,0,0,0,Jun,1977,Jun 1977
England,ODI,England v Australia,Australia,Lost,2 wickets,1977-06-06,The Oval,Home,1,0,1,0,0,Jun,1977,Jun 1977
England,ODI,Pakistan v England,Pakistan,Won,3 wickets,1977-12-23,Sahiwal,Away,1,1,0,0,0,Dec,1977,Dec 1977
England,ODI,Pakistan v England,Pakistan,Won,6 wickets,1977-12-30,Sialkot,Away,1,1,0,0,0,Dec,1977,Dec 1977
England,ODI,Pakistan v England,Pakistan,Lost,36 runs,1978-01-13,Lahore,Away,1,0,1,0,0,Jan,1978,Jan 1978
England,ODI,England v Pakistan,Pakistan,Won,132 runs,1978-05-24,Manchester,Home,1,1,0,0,0,May,1978,May 1978
England,ODI,England v Pakistan,Pakistan,Won,94 runs,1978-05-26,The Oval,Home,1,1,0,0,0,May,1978,May 1978
England,ODI,England v New Zealand,New Zealand,Won,19 runs,1978-07-15,Scarborough,Home,1,1,0,0,0,Jul,1978,Jul 1978
England,ODI,England v New Zealand,New Zealand,Won,126 runs,1978-07-17,Manchester,Home,1,1,0,0,0,Jul,1978,Jul 1978
England,ODI,Australia v England,Australia,Aban,-,1978-12-26,Melbourne,Away,1,0,0,0,0,Dec,1978,Dec 1978
England,ODI,Australia v England,Australia,N/R,-,1979-01-13,Sydney,Away,1,0,0,0,0,Jan,1979,Jan 1979
England,ODI,Australia v England,Australia,Won,7 wickets,1979-01-24,Melbourne,Away,1,1,0,0,0,Jan,1979,Jan 1979
England,ODI,Australia v England,Australia,Lost,4 wickets,1979-02-04,Melbourne,Away,1,0,1,0,0,Feb,1979,Feb 1979
England,ODI,Australia v England,Australia,Lost,6 wickets,1979-02-07,Melbourne,Away,1,0,1,0,0,Feb,1979,Feb 1979
England,ODI,England v Australia,Australia,Won,6 wickets,1979-06-09,Lord's,Home,1,1,0,0,0,Jun,1979,Jun 1979
England,ODI,England v Canada,Canada,Won,8 wickets,1979-06-13,Manchester,Home,1,1,0,0,0,Jun,1979,Jun 1979
England,ODI,England v Pakistan,Pakistan,Won,14 runs,1979-06-16,Leeds,Home,1,1,0,0,0,Jun,1979,Jun 1979
England,ODI,England v New Zealand,New Zealand,Won,9 runs,1979-06-20,Manchester,Home,1,1,0,0,0,Jun,1979,Jun 1979
