player,country,format,runs,runs_text,balls_faced,fours,sixes,batted_flag,not_out_flag,outs,fifty_flag,hundred_flag,minutes,innings_number,opposition,ground,date,overs_bowled,bowled_flag,maidens,runs_conceded,wickets,economy_rate,bowling_strike_rate,batting_strike_rate,four_wicket_flag,five_wicket_flag,ten_wicket_flag,balls_bowled
Shan Masood,Pakistan,Test,0,0,8,0,0,1,0,1,0,0,8,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Abid Ali,Pakistan,Test,25,25,53,3,0,1,0,1,0,0,53,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,47.17,0,0,0,0
Azhar Ali,Pakistan,Test,93,93,172,12,0,1,0,1,1,0,172,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,54.07,0,0,0,0
Haris Sohail,Pakistan,Test,1,1,4,0,0,1,0,1,0,0,4,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,25.0,0,0,0,0
Fawad Alam,Pakistan,Test,2,2,8,0,0,1,0,1,0,0,8,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,25.0,0,0,0,0
Mohammad Rizwan,Pakistan,Test,61,61,71,11,0,1,0,1,1,0,71,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,85.92,0,0,0,0
Faheem Ashraf,Pakistan,Test,48,48,88,8,0,1,0,1,0,0,88,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,54.55,0,0,0,0
Zafar Gohar,Pakistan,Test,34,34,62,6,0,1,0,1,0,0,62,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,54.84,0,0,0,0
Shaheen Shah Afridi,Pakistan,Test,4,4,21,0,0,1,0,1,0,0,21,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,19.05,0,0,0,0
Mohammad Abbas,Pakistan,Test,0,0*,7,0,0,1,1,0,0,0,7,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Naseem Shah,Pakistan,Test,12,12,9,3,0,1,0,1,0,0,9,1,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,133.33,0,0,0,0
TWM Latham,New Zealand,Test,33,33,71,4,0,1,0,1,0,0,71,2,Pakistan,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,46.48,0,0,0,0
TA Blundell,New Zealand,Test,16,16,54,3,0,1,0,1,0,0,54,2,Pakistan,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,29.63,0,0,0,0
KS Williamson,New Zealand,Test,238,238,364,28,0,1,0,1,0,1,364,2,Pakistan,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,65.38,0,0,0,0
LRPL Taylor,New Zealand,Test,12,12,33,1,0,1,0,1,0,0,33,2,Pakistan,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,36.36,0,0,0,0
HM Nicholls,New Zealand,Test,157,157,291,18,1,1,0,1,0,1,291,2,Pakistan,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,53.95,0,0,0,0
BJ Watling,New Zealand,Test,7,7,18,1,0,1,0,1,0,0,18,2,Pakistan,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,38.89,0,0,0,0
DJ Mitchell,New Zealand,Test,102,102*,112,8,2,1,1,0,0,1,112,2,Pakistan,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,91.07,0,0,0,0
KA Jamieson,New Zealand,Test,30,30*,22,2,2,1,1,0,0,0,22,2,Pakistan,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,136.36,0,0,0,0
Shan Masood,Pakistan,Test,0,0,25,0,0,1,0,1,0,0,25,3,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Abid Ali,Pakistan,Test,26,26,77,3,0,1,0,1,0,0,77,3,New Zealand,Hagley Oval,2021-01-03,0.0,0,0,0,0,0.0,0.0,33.77,0,0,0,0
