country,format,matches_played,innings_batted,runs_scored,average_runs,batting_runs_per_over,highest_team_score,lowest_completed_score,batting_average
Pakistan,Test,35,66,18431,279.26,3.2099,579,37,31.7229
New Zealand,Test,38,71,20349,286.61,3.4667,659,8,34.2576
Sri Lanka,Test,36,66,19321,292.74,3.3376,704,29,32.7475
South Africa,Test,39,73,18185,249.11,3.3287,626,55,28.7283
Australia,Test,49,93,25308,272.13,3.5721,654,10,33.8795
India,Test,54,101,27748,274.73,3.408,587,8,32.0416
England,Test,65,123,34726,282.33,3.9692,823,12,31.9761
Bangladesh,Test,36,69,17157,248.65,3.2288,587,30,27.5836
West Indies,Test,42,83,17698,213.23,2.9001,457,13,23.6921
Zimbabwe,Test,14,28,5618,200.64,3.0016,379,111,20.8848
Ireland,Test,8,16,4107,256.69,3.2208,492,143,26.4968
Ireland,ODI,46,41,9420,229.76,5.3155,359,65,31.9322
United Arab Emirates,ODI,69,69,13874,201.07,4.536,348,49,24.2977
West Indies,ODI,75,77,16797,218.14,5.3825,385,8,28.762
Bangladesh,ODI,65,65,14606,224.71,5.1782,349,9,29.6268
Sri Lanka,ODI,77,76,17388,228.79,5.2326,355,50,29.0284
New Zealand,ODI,74,73,17943,245.79,5.8187,401,82,35.3209
India,ODI,81,81,20531,253.47,5.9819,410,51,39.7118
England,ODI,66,64,16980,265.31,6.2545,498,110,33.3595
South Africa,ODI,68,67,17612,262.87,6.014,428,72,35.7967
Pakistan,ODI,62,61,15099,247.52,5.6806,355,60,35.95
Netherlands,ODI,61,62,13028,210.13,4.9168,374,11,25.5953
Scotland,ODI,59,58,12971,223.64,5.2535,380,95,32.9213
Zimbabwe,ODI,45,44,9507,216.07,5.33,408,12,27.319
Australia,ODI,62,62,14824,239.1,5.9028,431,87,32.2261
Papua New Guinea,ODI,37,37,6737,182.08,4.1754,292,82,19.8732
United States of America,ODI,57,58,13301,229.33,5.0645,361,13,30.7182
Nepal,ODI,68,68,13663,200.93,4.7323,321,26,25.4432
Oman,ODI,52,52,10152,195.23,4.5443,318,14,26.3688
Namibia,ODI,54,55,10824,196.8,4.6942,313,3,25.1137
Canada,ODI,28,29,5971,205.9,4.5632,290,7,24.9833
Jersey,ODI,4,4,928,232.0,4.825,291,206,28.1212
Pakistan,T20I,118,114,17487,153.39,8.1964,232,13,24.4916
South Africa,T20I,90,89,13975,157.02,8.537,259,51,24.6473
New Zealand,T20I,107,105,15877,151.21,8.5101,254,2,25.6494
Australia,T20I,86,85,13204,155.34,8.9833,241,9,26.5141
Sri Lanka,T20I,84,88,12201,138.65,7.6384,218,2,21.5565
West Indies,T20I,111,110,17177,156.15,8.5408,258,15,24.125
India,T20I,119,121,19660,162.48,9.0878,297,3,30.6231
England,T20I,87,84,13680,162.86,9.0867,304,50,27.251
Bangladesh,T20I,106,105,14749,140.47,7.4836,207,62,21.0399
Uganda,T20I,99,98,12991,132.56,7.4926,229,27,22.7513
Namibia,T20I,68,69,9713,140.77,7.759,241,21,25.8324
Netherlands,T20I,54,55,7437,135.22,7.54,247,6,21.4942
Nepal,T20I,76,79,11417,144.52,8.2107,314,0,24.5
Malaysia,T20I,85,83,11075,133.43,7.9619,223,24,23.0729
Zimbabwe,T20I,100,100,14837,148.37,7.9222,344,57,22.5486
Luxembourg,T20I,38,38,5287,139.13,7.2924,191,78,19.2255
Czech Republic,T20I,35,36,5213,144.81,7.8806,258,10,22.4698
Austria,T20I,59,59,8830,149.66,8.5108,245,66,24.6648
Greece,T20I,10,10,1041,104.1,6.29,157,33,12.8519
Romania,T20I,51,50,7517,150.34,8.4098,211,78,23.788
Serbia,T20I,32,32,4180,130.62,7.0134,242,68,19.6244
Bulgaria,T20I,44,44,6574,149.41,8.1445,246,73,22.1347
Belgium,T20I,33,34,4737,139.32,7.9325,215,7,19.7375
Malta,T20I,66,66,9525,144.32,7.8676,229,30,20.1374
Ireland,T20I,74,72,10551,146.54,7.8059,226,80,21.6209
Norway,T20I,39,39,5150,132.05,7.2484,185,51,19.434
Germany,T20I,49,49,6384,130.29,7.3563,220,65,21.7884
France,T20I,33,34,4506,132.53,7.1543,191,12,18.6198
Denmark,T20I,34,34,4793,140.97,7.4368,256,89,21.4933
Sweden,T20I,29,30,3788,126.27,7.3269,218,13,18.6601
Ghana,T20I,34,35,3653,104.37,6.2302,215,6,15.0329
Rwanda,T20I,96,96,10202,106.27,6.1489,192,3,14.6791
Gibraltar,T20I,44,44,6581,149.57,7.8877,243,83,23.5878
Finland,T20I,30,31,3588,115.74,6.5395,199,15,14.7654
Portugal,T20I,27,27,3858,142.89,8.0319,218,77,22.9643
Hungary,T20I,37,38,5746,151.21,8.2282,222,6,21.6015
Kenya,T20I,69,69,8881,128.71,7.4495,237,34,23.188
Spain,T20I,36,36,4617,128.25,8.2129,290,13,24.9568
Nigeria,T20I,83,83,9860,118.8,6.6757,271,27,17.7658
Scotland,T20I,43,43,6520,151.63,7.8935,245,85,22.8772
Estonia,T20I,29,29,3983,137.34,7.3397,203,71,20.6373
Cyprus,T20I,31,31,4430,142.9,7.5835,213,63,20.6047
Isle of Man,T20I,19,18,2082,115.67,6.9905,182,10,17.35
United Arab Emirates,T20I,79,79,11811,149.51,8.0329,245,57,25.732
Papua New Guinea,T20I,39,39,5311,136.18,7.5908,229,75,19.6704
Jersey,T20I,34,34,4853,142.74,7.8127,233,71,23.2201
Italy,T20I,27,27,3713,137.52,7.5086,244,87,23.0621
Seychelles,T20I,15,14,1241,88.64,5.3684,162,18,12.7938
Malawi,T20I,38,37,4057,109.65,6.2592,182,11,18.3575
Oman,T20I,70,72,9492,131.83,7.3543,220,10,20.1957
Lesotho,T20I,12,11,947,86.09,5.5761,148,26,9.3762
Swaziland,T20I,5,5,448,89.6,5.2296,128,72,9.7391
Sierra Leone,T20I,39,39,3856,98.87,5.672,189,47,13.3889
Switzerland,T20I,30,30,4119,137.3,8.0818,235,16,23.0112
Maldives,T20I,31,31,3281,105.84,5.7427,178,52,14.5822
Saudi Arabia,T20I,48,49,6899,140.8,8.0066,221,17,23.3864
Bahrain,T20I,97,97,13169,135.76,7.6335,231,0,24.8004
Kuwait,T20I,59,59,8238,139.63,8.2216,226,11,21.968
Qatar,T20I,50,50,7017,140.34,7.7909,201,3,22.4185
Botswana,T20I,39,39,4382,112.36,6.4347,185,35,17.6694
Tanzania,T20I,69,69,8710,126.23,7.3306,242,19,18.7716
Mozambique,T20I,23,23,2713,117.96,6.76,222,13,19.8029
Cameroon,T20I,15,15,952,63.47,4.4074,146,30,7.2121
Belize,T20I,12,12,1185,98.75,5.4275,143,52,12.4737
United States of America,T20I,45,47,6563,139.64,8.1545,230,2,25.438
Canada,T20I,52,53,7813,147.42,8.5032,245,14,27.9036
Bahamas,T20I,28,28,2683,95.82,5.1547,145,41,12.4791
Argentina,T20I,25,25,2661,106.44,6.1669,171,9,17.74
Panama,T20I,23,23,2239,97.35,5.3246,145,37,11.6615
Bermuda,T20I,34,34,4518,132.88,8.0895,239,55,26.1156
Philippines,T20I,35,36,4373,121.47,6.7921,246,10,18.0702
Guernsey,T20I,30,29,3606,124.34,7.1054,172,60,21.4643
Singapore,T20I,52,52,6775,130.29,7.2023,216,13,17.9233
Israel,T20I,8,8,1048,131.0,6.5568,175,107,16.9032
Bhutan,T20I,37,37,4110,111.08,5.8883,223,50,14.2708
Thailand,T20I,49,49,4958,101.18,5.9639,178,23,14.9337
Hong Kong,T20I,73,75,10090,134.53,7.6711,219,1,21.8398
Turkey,T20I,15,15,1816,121.07,6.7551,237,48,14.0775
Croatia,T20I,28,28,2461,87.89,4.8129,155,42,10.2116
Slovenia,T20I,15,15,1728,115.2,6.1751,202,49,12.8
