country,format,bowling_average,bowling_runs_per_over,innings_bowled,highest_score_conceded,lowest_completed_score_conceded,matches_played
New Zealand,Test,29.2544,3.3573,75,602,42,38
Pakistan,Test,32.2905,3.5718,67,823,30,35
South Africa,Test,23.9661,3.3145,74,575,35,39
Sri Lanka,Test,33.758,3.4435,67,654,10,36
India,Test,26.7779,3.3191,105,669,19,54
Australia,Test,25.6671,3.2617,94,592,8,49
England,Test,31.5623,3.3873,126,587,20,65
West Indies,Test,32.1346,3.4519,80,598,26,42
Bangladesh,Test,34.0363,3.2524,67,648,13,36
Zimbabwe,Test,46.4151,3.8931,21,626,8,14
Ireland,Test,52.2727,4.0369,13,704,12,8
United Arab Emirates,ODI,30.5316,4.9264,69,355,79,69
Ireland,ODI,32.2649,5.6055,44,385,55,46
Bangladesh,ODI,30.6674,5.2851,65,409,10,65
West Indies,ODI,33.8869,5.5018,76,400,9,75
Sri Lanka,ODI,29.8763,5.5388,76,428,12,77
New Zealand,ODI,30.279,5.5581,72,397,76,74
England,ODI,33.5096,5.8983,65,399,72,66
India,ODI,26.5467,5.348,79,362,50,81
Pakistan,ODI,31.9242,5.7946,62,401,104,62
South Africa,ODI,33.4224,5.9559,67,431,11,68
Scotland,ODI,24.4239,4.7931,58,374,26,59
Netherlands,ODI,32.2772,5.3332,62,498,8,61
Zimbabwe,ODI,36.3745,5.4582,43,318,60,45
Australia,ODI,29.4032,5.4704,62,416,82,62
United States of America,ODI,26.5736,4.7616,58,408,14,57
Papua New Guinea,ODI,32.3621,4.9012,37,297,97,37
Nepal,ODI,27.3242,4.8327,67,342,4,68
Oman,ODI,26.4268,4.7742,53,362,13,52
Namibia,ODI,25.0439,4.591,55,348,7,54
Canada,ODI,29.2333,4.7515,29,361,3,28
Jersey,ODI,36.1071,5.5499,4,284,216,4
South Africa,T20I,24.4017,8.5479,90,304,28,90
Pakistan,T20I,21.8274,8.0168,119,226,2,118
Australia,T20I,22.4535,8.4049,86,235,5,86
New Zealand,T20I,21.5521,7.9072,104,236,12,107
West Indies,T20I,26.2459,8.7457,106,267,39,111
Sri Lanka,T20I,24.0581,7.9833,88,228,3,84
England,T20I,23.894,8.5514,86,247,30,87
India,T20I,20.414,7.9329,118,227,2,119
Bangladesh,T20I,22.3594,7.7794,104,297,48,106
Namibia,T20I,21.0682,7.2698,68,247,10,68
Uganda,T20I,14.5366,6.0938,99,189,26,99
Nepal,T20I,18.1307,7.2641,81,212,2,76
Netherlands,T20I,21.3492,7.6532,57,238,0,54
Malaysia,T20I,17.7705,6.726,84,223,23,85
Zimbabwe,T20I,22.1589,7.3498,98,234,18,100
Czech Republic,T20I,23.1234,8.1266,36,225,6,35
Luxembourg,T20I,23.4735,8.1363,38,245,73,38
Austria,T20I,19.3961,7.5576,58,232,63,59
Romania,T20I,20.9313,7.9641,51,244,79,51
Greece,T20I,21.6308,7.8989,10,183,99,10
Serbia,T20I,25.0674,8.5882,32,246,67,32
Bulgaria,T20I,29.6765,9.0243,44,258,33,44
Malta,T20I,23.908,8.0813,66,204,52,66
Belgium,T20I,19.7706,7.7582,34,216,12,33
Ireland,T20I,25.2964,8.0865,74,256,47,74
Germany,T20I,18.0331,6.9063,49,234,76,49
Norway,T20I,17.2222,6.9767,39,189,25,39
France,T20I,17.6502,7.0177,34,191,7,33
Sweden,T20I,17.1036,6.8067,30,220,15,29
Denmark,T20I,17.6851,6.5638,34,198,33,34
Rwanda,T20I,19.9832,7.152,96,240,6,96
Ghana,T20I,18.1667,6.5028,35,237,3,34
Gibraltar,T20I,28.1325,8.8484,44,256,63,44
Finland,T20I,20.7211,7.1669,31,198,13,30
Portugal,T20I,17.3756,6.9881,27,176,76,27
Hungary,T20I,22.2521,8.188,38,221,10,37
Kenya,T20I,17.636,6.71,68,241,11,69
Spain,T20I,13.2007,5.6998,35,195,10,36
Nigeria,T20I,16.6938,6.4082,82,235,7,83
Scotland,T20I,21.1818,7.9103,42,254,62,43
Cyprus,T20I,18.5381,7.0446,31,205,48,31
Estonia,T20I,21.4328,8.1565,29,235,72,29
Isle of Man,T20I,17.5812,6.7003,19,174,13,19
United Arab Emirates,T20I,19.8536,7.3873,79,212,37,79
Papua New Guinea,T20I,21.35,7.4261,39,203,71,39
Jersey,T20I,16.6492,6.5315,34,197,52,34
Italy,T20I,17.4053,6.4758,27,245,44,27
Seychelles,T20I,30.65,8.259,14,286,14,15
Malawi,T20I,21.1106,7.1866,38,219,30,38
Oman,T20I,21.426,7.3642,72,212,10,70
Lesotho,T20I,24.2456,8.1614,12,237,27,12
Swaziland,T20I,30.6,7.8017,5,130,75,5
Sierra Leone,T20I,17.3089,6.3758,39,179,21,39
Switzerland,T20I,20.8537,7.5686,29,219,81,30
Saudi Arabia,T20I,20.1094,7.1289,49,194,14,48
Maldives,T20I,22.6131,7.649,31,226,51,31
Kuwait,T20I,20.0698,7.14,59,200,47,59
Bahrain,T20I,18.253,6.8803,97,236,1,97
Qatar,T20I,21.8133,7.7843,52,210,17,50
Botswana,T20I,18.8992,7.2667,38,259,31,39
Mozambique,T20I,20.5616,7.7504,24,242,14,23
Tanzania,T20I,17.4304,6.8019,68,221,18,69
Cameroon,T20I,22.9531,8.3308,15,240,31,15
United States of America,T20I,21.4348,7.4755,48,217,3,45
Belize,T20I,19.5714,7.2685,12,234,68,12
Canada,T20I,17.8517,6.7151,52,230,22,52
Argentina,T20I,15.6854,6.1861,24,226,52,25
Bahamas,T20I,22.8493,7.4326,28,239,46,28
Panama,T20I,19.8615,6.9068,22,245,61,23
Bermuda,T20I,14.2691,5.771,34,205,51,34
Philippines,T20I,19.0041,7.2182,36,229,9,35
Guernsey,T20I,20.033,7.0477,30,178,16,30
Singapore,T20I,25.8488,8.392,51,236,10,52
Israel,T20I,20.3208,7.3936,8,172,110,8
Bhutan,T20I,19.7613,6.7475,37,221,45,37
Thailand,T20I,15.882,6.3123,47,192,26,49
Hong Kong,T20I,19.7128,7.4191,73,213,0,73
Turkey,T20I,26.7093,8.5232,15,200,68,15
Croatia,T20I,30.2906,9.0293,28,290,51,28
Slovenia,T20I,31.24,9.914,15,244,51,15
Fiji,T20I,21.5072,7.3344,11,183,63,11
Cook Islands,T20I,18.3983,7.2046,16,180,76,16
Vanuatu,T20I,20.0903,7.4211,22,186,75,22
Samoa,T20I,24.0,7.9516,23,225,62,23
Indonesia,T20I,18.8996,6.7094,91,231,10,90
Japan,T20I,14.5337,5.9336,47,219,4,47
South Korea,T20I,23.6667,8.3674,17,246,53,17
Mali,T20I,24.2069,8.2266,10,162,19,10
St Helena,T20I,19.6087,6.8943,9,185,26,9
Eswatini,T20I,21.7174,7.8558,15,222,13,15
Gambia,T20I,32.7619,9.2556,9,344,61,9
Cayman Islands,T20I,21.9371,7.2525,29,236,41,29
China,T20I,29.5143,7.7378,9,258,24,9
Myanmar,T20I,20.4467,7.3082,30,223,32,30
Mongolia,T20I,40.4821,11.0049,14,314,13,14
Mexico,T20I,10.8553,5.2744,19,132,35,19
Chile,T20I,25.4,6.569,2,74,53,2
Cambodia,T20I,23.5855,7.6483,37,192,14,38
Costa Rica,T20I,20.1905,6.1898,8,174,74,8
Brazil,T20I,22.4928,6.812,13,224,9,13
Ivory Coast,T20I,80.8571,11.9577,5,271,27,5
Suriname,T20I,17.0392,6.3741,8,161,52,8
Turks and Caicos Island,T20I,19.2,6.1935,4,145,68,4
Timor-Leste,T20I,41.6,9.6247,8,180,16,8
Zambia,T20I,19.697,6.8421,10,162,84,10
