country,format,match,opponent,result,margin,date,ground,home_away,matches,won_flag,lost_flag,tied_flag,no_result_flag,month,year,period
New Zealand,Test,New Zealand v Pakistan,Pakistan,Won,176 runs,2021-01-03,Hagley Oval,Neutral,1,1,0,0,0,1,2021,2021-01
Pakistan,Test,New Zealand v Pakistan,New Zealand,Lost,176 runs,2021-01-03,Hagley Oval,Neutral,1,0,1,0,0,1,2021,2021-01
South Africa,Test,South Africa v Sri Lanka,Sri Lanka,Won,10 wickets,2021-01-03,The Wanderers Stadium,Neutral,1,1,0,0,0,1,2021,2021-01
Sri Lanka,Test,South Africa v Sri Lanka,South Africa,Lost,10 wickets,2021-01-03,The Wanderers Stadium,Neutral,1,0,1,0,0,1,2021,2021-01
Australia,Test,Australia v India,India,Drawn,Draw,2021-01-07,Sydney Cricket Ground,Neutral,1,0,0,0,1,1,2021,2021-01
India,Test,Australia v India,Australia,Drawn,Draw,2021-01-07,Sydney Cricket Ground,Neutral,1,0,0,0,1,1,2021,2021-01
England,Test,England v Sri Lanka,Sri Lanka,Won,7 wickets,2021-01-14,Galle International Stadium,Neutral,1,1,0,0,0,1,2021,2021-01
Sri Lanka,Test,England v Sri Lanka,England,Lost,7 wickets,2021-01-14,Galle International Stadium,Neutral,1,0,1,0,0,1,2021,2021-01
Australia,Test,Australia v India,India,Lost,3 wickets,2021-01-15,Brisbane Cricket Ground,Neutral,1,0,1,0,0,1,2021,2021-01
India,Test,Australia v India,Australia,Won,3 wickets,2021-01-15,Brisbane Cricket Ground,Neutral,1,1,0,0,0,1,2021,2021-01
England,Test,England v Sri Lanka,Sri Lanka,Won,6 wickets,2021-01-22,Galle International Stadium,Neutral,1,1,0,0,0,1,2021,2021-01
Sri Lanka,Test,England v Sri Lanka,England,Lost,6 wickets,2021-01-22,Galle International Stadium,Neutral,1,0,1,0,0,1,2021,2021-01
Pakistan,Test,Pakistan v South Africa,South Africa,Won,7 wickets,2021-01-26,National Stadium,Neutral,1,1,0,0,0,1,2021,2021-01
